regime,start_date,end_date,days,score,net_pct_span,median_daily_range_pct,max_daily_range_pct,have_locally,venue_data_needed,research_purpose,reason
REVERSAL_SWEEP,2026-03-29,2026-04-01,3,5.81,2.62,3.29,3.69,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),sweep-reversal + false-breakout reclaim setups,wick 1.58% vs net -0.54%
HIGH_VOL,2026-05-28,2026-05-28,1,5.53,-3.19,3.76,3.76,True,both (OKX L2+trades AND Binance recorder — cross-venue overlap),stress strong-move separation; most 2%+ opportunities,range 3.76% vs prior med 2.49%
RANGE,2026-03-08,2026-03-09,2,5.33,1.73,4.79,5.71,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),range-fade edge+reclaim positives (already have May; need variety),"7d 0.31% flat, intraday range 3.87%"
REVERSAL_SWEEP,2024-11-01,2024-11-01,1,5.27,-1.15,4.01,4.01,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),sweep-reversal + false-breakout reclaim setups,wick 1.91% vs net -1.15%
RANGE,2026-03-18,2026-03-19,2,4.64,-5.4,4.82,5.67,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),range-fade edge+reclaim positives (already have May; need variety),"7d 1.51% flat, intraday range 5.67%"
REVERSAL_SWEEP,2024-02-01,2024-02-01,1,4.28,1.2,3.35,3.35,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),sweep-reversal + false-breakout reclaim setups,wick 1.63% vs net 1.2%
BREAKOUT,2026-05-28,2026-05-28,1,4.2,-3.19,3.76,3.76,True,both (OKX L2+trades AND Binance recorder — cross-venue overlap),breakout-continuation / retest setups,close breaks prior7 range after compression (2.49%)
TREND_UP,2026-04-01,2026-04-01,1,4.0,-0.24,2.59,2.59,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),calibrate trend-continuation longs / TU module (missing in 05-03..20),3d 3.18% / 7d -4.53%
REVERSAL_SWEEP,2026-05-24,2026-05-24,1,3.85,1.14,2.92,2.92,True,both (OKX L2+trades AND Binance recorder — cross-venue overlap),sweep-reversal + false-breakout reclaim setups,wick 1.57% vs net 1.14%
RANGE,2026-03-26,2026-03-26,1,3.58,-3.52,4.63,4.63,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),range-fade edge+reclaim positives (already have May; need variety),"7d -1.55% flat, intraday range 4.63%"
RANGE,2026-05-14,2026-05-15,2,3.24,0.4,3.73,4.2,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),range-fade edge+reclaim positives (already have May; need variety),"7d 1.73% flat, intraday range 3.26%"
BREAKOUT,2026-05-23,2026-05-23,1,3.24,-1.67,3.77,3.77,True,both (OKX L2+trades AND Binance recorder — cross-venue overlap),breakout-continuation / retest setups,close breaks prior7 range after compression (1.93%)
BREAKOUT,2026-05-13,2026-05-13,1,2.94,-1.85,3.18,3.18,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),breakout-continuation / retest setups,close breaks prior7 range after compression (2.41%)
BREAKOUT,2026-05-16,2026-05-18,2,2.87,-3.45,2.78,3.12,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),breakout-continuation / retest setups,close breaks prior7 range after compression (2.75%)
LOW_VOL,2024-06-01,2024-06-01,1,-0.2,0.31,0.7,0.7,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),no-trade / false-positive control set,range only 0.7%
LOW_VOL,2026-05-09,2026-05-10,2,-0.21,1.57,1.21,1.24,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),no-trade / false-positive control set,range only 1.18%
LOW_VOL,2026-05-17,2026-05-19,2,-0.4,-2.18,1.4,1.66,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),no-trade / false-positive control set,range only 1.15%
LOW_VOL,2025-11-01,2025-11-01,1,-0.57,0.46,1.07,1.07,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),no-trade / false-positive control set,range only 1.07%
LOW_VOL,2026-03-14,2026-03-14,1,-0.95,0.39,1.45,1.45,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),no-trade / false-positive control set,range only 1.45%
LOW_VOL,2026-05-03,2026-05-03,1,-0.98,0.23,1.48,1.48,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),no-trade / false-positive control set,range only 1.48%
LOW_VOL,2026-01-01,2026-01-01,1,-1.07,1.38,1.57,1.57,True,OKX L2+trades (download; add Binance recorder if you also want cross-venue),no-trade / false-positive control set,range only 1.57%
LOW_VOL,2026-05-30,2026-05-30,1,-1.08,0.17,1.58,1.58,True,both (OKX L2+trades AND Binance recorder — cross-venue overlap),no-trade / false-positive control set,range only 1.58%
